pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
;;SECCIÓN I;;;;;;
;;ANIMALES VIVOS Y PRODUCTOS DEL REINO ANIMAL;;;;;;
;;Notas.;;;;;;
;;1. En esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales;;;;;;
;;jóvenes de ese género o de esa especie.;;;;;;
;;2. Salvo disposición en contrario, cualquier referencia en la Nomenclatura a productos secos o desecados alcanza también a los productos deshidratados,;;;;;;
;;evaporados o liofilizados.;;;;;;
;;Nota Complementaria.;;;;;;
;;1. En las subpartidas correspondientes a los Capítulos 1 y 3, las expresiones Reproductores de raza pura, para reproducción o cría industrial, para lidia y para;;;;;;
;;carrera, comprenden los animales considerados como tales por la autoridad nacional competente.;;;;;;
;;CAPÍTULO 1;;;;;;
;;ANIMALES VIVOS;;;;;;
;;Nota.;;;;;;
;;1. Este Capítulo comprende todos los animales vivos, excepto:;;;;;;
;;"a) los peces, los crustáceos, moluscos y demás invertebrados acuáticos, de las partidas 03.01, 03.06, 03.07 o 03.08;";;;;;;
;;"b) los cultivos de microorganismos y demás productos de la partida 30.02;";;;;;;
;;c) los animales de la partida 95.08.;;;;;;
;;Notas Complementarias:;;;;;;
;;1. En la subpartida 0102.2 la expresión “bovinos domésticos” comprende los animales de las especies “Bos primigenius Taurus (Bos Taurus)” y “Bos primigenius;;;;;;
;;Indicus (Bos Indicus)”.;;;;;;
;;2. En las subpartidas 0105.94.00.10 y 0105.99.00.10, la expresión “especímenes de interés genético”, comprende los animales considerados como tales por la;;;;;;
;;autoridad nacional con competencia en materia de agricultura.;;;;;;
;0209.10.19.00;De cerdo: - Tocino: - Los demás;6;;3,5,6;;;kg
;0209.10.2;- - Grasa:;;;;;;
;0209.10.21.00;De cerdo: - Grasa: - Fresca, refrigerada o congelada;6;;3,5,6;;;kg
;0209.10.29.00;De cerdo: - Grasa: - Las demás;6;;3,5,6;;;kg
;0209.90.00.00;Los demás;6;;3,5,6;;;kg
;02.10;"CARNE Y DESPOJOS COMESTIBLES, SALADOS O EN SALMUERA, SECOS O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE DESPOJOS.";;;;;;
;;"O AHUMADOS; HARINA Y POLVO COMESTIBLES, DE CARNE O DE";;;;;;
;;DESPOJOS.;;;;;;
;;0210.1 - Carne de la especie porcina:;;;;;;
;0210.11.00.00;Jamones, paletas, y sus trozos, sin deshuesar;10;;3,5,6;;;kg
;0210.12.00.00;Tocino entreverado de panza (panceta) y sus trozos;10;;3,5,6;;;kg
;0210.19.00.00;Las demás;10;2E;3,5,6;;;kg
;0210.20.00.00;Carne de la especie bovina;10;;3,5,6;;;kg
;;0210.9 - Los demás, incluidos la harina y polvo comestibles, de carne o de despojos:;;;;;;
;0210.91.00.00;De primates;10;;3,5,6;;;kg
;0210.92.00.00;"De ballenas, delfines y marsopas (mamíferos del orden Cetacea); de";de;;;;;
;;"manatíesydugonesodugongos(mamíferosdelorden Sirenia);deotariosy";;;;;;
;;focas, leones marinos y morsas (mamíferos del suborden Pinnipedia) 10 3,5,6 kg;;;;;;
;0210.93.00.00;De reptiles (incluidas las serpientes y tortugas de mar);10;;3,5,6;;;kg
;0210.99;- - Los demás:;;;;;;
;0210.99.1;- - - Carne de aves de la partida 01.05:;;;;;;
