pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
9;0207.45.00.00;- - Los demás, congelados;10;;3,5,6;;;kg
9;;0207.5 - De ganso:;;;;;;
9;0207.51.00.00;- - Sin trocear, frescos o refrigerados;10;;3,5,6;;;kg
10;0207.52.00.00;- - Sin trocear, congelados;10;;3,5,6;;;kg
10;0207.53.00.00;- - Hígados grasos, frescos o refrigerados;10;;3,5,6;;;kg
10;0207.54.00.00;- - Los demás, frescos o refrigerados;10;;3,5,6;;;kg
10;0207.55.00.00;- - Los demás, congelados;10;;3,5,6;;;kg
10;0207.60.00.00;- De pintada;10;;3,5,6;;;kg
10;02.08;LAS DEMÁS CARNES Y DESPOJOS COMESTIBLES, FRESCOS,;;;;;;
10;;REFRIGERADOS O CONGELADOS.;;;;;;
10;0208.10.00.00;- De conejo o liebre;10;;3,5,6;;;kg
10;0208.30.00.00;- De primates;10;;3,5,6;;;kg
10;0208.40.00.00;"- Deballenas,delfinesymarsopas(mamíferosdelordenCetacea);demanatíes";;;;;;
10;;"y dugones o dugongos (mamíferos del orden Sirenia); de otarios y focas,";;;;;;
10;;leones marinos y morsas (mamíferos del suborden Pinnipedia) 10 5,10 kg;;;;;;
10;0208.50.00.00;- De reptiles (incluidas las serpientes y tortugas de mar);10;;5,10;;;kg
10;0208.60.00.00;- De camellos y demás camélidos (Camelidae);10;;3,5,6;;;kg
10;0208.90.00.00;- Las demás;10;;3,5,6;;;kg
10;02.09;TOCINO SIN PARTES MAGRAS Y GRASA DE CERDO O DE AVE SIN;;;;;;
10;;FUNDIR NI EXTRAER DE OTRO MODO, FRESCOS, REFRIGERADOS,;;;;;;
10;;CONGELADOS, SALADOS O EN SALMUERA, SECOS O AHUMADOS.;;;;;;
10;0209.10;- De cerdo:;;;;;;
10;0209.10.1;- - Tocino:;;;;;;
10;0209.10.11.00;- - - Fresco, refrigerado o congelado;6;;3,5,6;;;kg
10;0209.10.19.00;- - - Los demás;6;;3,5,6;;;kg
10;0209.10.2;- - Grasa:;;;;;;
10;0209.10.21.00;- - - Fresca, refrigerada o congelada;6;;3,5,6;;;kg
10;0209.10.29.00;- - - Las demás;6;;3,5,6;;;kg
10;0209.90.00.00;- Los demás;6;;3,5,6;;;kg
10;02.10;CARNEYDESPOJOSCOMESTIBLES,SALADOSOENSALMUERA,SECOS;;;;;;
